Fund;Fund Type;Country;World Bank Region;Income Classification;Name of Project;Theme/Objective;Sector (OECD);DAC 5 Code;Sub-Sector;Key words;Implementing Agency;Recipient Institution;Recipient Institution type;Approved year;End year;Concessional loan;Grant;Guarantee;Equity;Amount of Funding Approved (USD millions); Disbursed (USD millions);Least Developed Country;Small Island Developing Nation;Fragile or Conflict Affected State
Adaptation for Smallholder Agriculture Programme (ASAP);Multilateral;Vietnam;East Asia & Pacific;Lower middle income;Project for Adaptation to Climate Change in the Mekong Delta in Ben Tre and Tra Vinh Provinces;Adaptation;Agriculture;DAC311_;Agricultural water resources;;Governments;;;2013;;;12;;;12;10,58;;;
Forest Carbon Partnership Facility - Readiness Fund (FCPF-RF);Multilateral;Vietnam;East Asia & Pacific;Lower middle income;Readiness Fund Grant;Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;;IBRD;Ministry of Agriculture and Rural Development (MARD);;2012;;;8,8;;;8,8;8,15;;;
Global Environment Facility (GEF4);Multilateral;Vietnam;East Asia & Pacific;Lower middle income;Phasing out Incandescent Lamps through Lighting Market Transformation in Vietnam;Mitigation - General;Energy;DAC230_;Energy policy and administrative mangement;;UNEP;;;2009;;;3,03;;;3,03;3,03;;;
Global Environment Facility (GEF4);Multilateral;Vietnam;East Asia & Pacific;Lower middle income;Vietnam Clean Production and Energy Efficiency Project;Mitigation - General;Energy;DAC230_;Energy generation, distribution and efficiency - general;;World Bank;;;2009;;;2,37;;;2,37;2,37;;;
Global Environment Facility (GEF4);Multilateral;Vietnam;East Asia & Pacific;Lower middle income;CF: Promoting Industrial Energy Efficiency through System Optimization and Energy Management Standards;Mitigation - General;Energy;DAC230_;Energy generation, distribution and efficiency - general;;UNIDO;;;2009;;;0,86;;;0,86;0,86;;;
Special Climate Change Fund (SCCF);Multilateral;Vietnam;East Asia & Pacific;Lower middle income;"Promoting Climate Resilience in Vietnamese Cities Management

";Adaptation;General environment protection;DAC410_;General environment protection;urban planning;ADB;Ministry of Natural Resources and Environment;;2015;;;4,57;;;4,57;;;;
UN-REDD Programme;Multilateral;Vietnam;East Asia & Pacific;Lower middle income;00072449 UN-REDD Viet Nam Programme;Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;;FAO / UNDP / UNEP;"Ministry of Agriculture and Rural Development; Ministry of Natural Resources and Environment (MONRE); The Ministry of Planning and Investment (MPI); The Ministry of Finance (MoF); The State Committee for Ethnic Minority and Mountainous Area Affairs (CEMMA); ";;2009;2012;;4,38;;;4,38;4,38;;;
Global Environment Facility (GEF5);Multilateral;Vietnam;East Asia & Pacific;Lower middle income;Energy Efficiency Improvement in Commercial and High-Rise Residential Buildings;Mitigation - General;Energy;DAC230_;Energy efficiency;Buildings;UNDP;Ministry of Construction;;2013;;;3,2;;;3,2;3,2;;;
Global Environment Facility (GEF5);Multilateral;Vietnam;East Asia & Pacific;Lower middle income;Promotion of Non-fired Brick (NFB) Production and Utilization;Mitigation - General;Industry;DAC321_;Energy efficiency;Manufacturing;UNDP;Ministry of Science and Technology (MOST);;2012;2017;;2,8;;;2,8;2,8;;;
Global Environment Facility (GEF5);Multilateral;Vietnam;East Asia & Pacific;Lower middle income;Promotion of Energy Efficient Industrial Boiler Adoption and Operating Practices;Mitigation - General;Industry;DAC321_;Energy efficiency;Industrial;UNIDO;Ministry of Industrial and Trade (MOIT);;2013;;;1,77;;;1,77;1,77;;;
Global Environment Facility (GEF5);Multilateral;Vietnam;East Asia & Pacific;Lower middle income;Local Development and Promotion of LED Technologies for Advanced General Lighting;Mitigation - General;Industry;DAC321_;Energy efficiency;Manufacturing;UNDP;Viet Nam Academy of Science and Technology (VAST);;2013;;;1,52;;;1,52;1,52;;;
Global Environment Facility (GEF5);Multilateral;Vietnam;East Asia & Pacific;Lower middle income;Preparation of Vietnam's Initial Biennial Update Report to UNFCCC;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental research;;UNEP;"Department of Meteorology, Hydrology and Climate Change; Ministry of Natural Resources & Environment (MONRE)";;2014;;;0,35;;;0,35;0,35;;;
Global Environment Facility (GEF5);Multilateral;Vietnam;East Asia & Pacific;Lower middle income;Reducing Greenhouse Gas and ODS Emissions Through Technology Transfer in Industrial Refrigeration;Mitigation - General;Industry;DAC321_;Energy efficiency;Industrial;UNIDO;MONRE, MARD, Cleaner Production Centre;;2013;;;0,29;;;0,29;0,29;;;
Global Environment Facility (GEF6);Multilateral;Vietnam;East Asia & Pacific;Lower middle income;GEF-AF-Mekong Delta Integrated Climate Resilience and Sustainable Livelihoods Project;Multiple Foci;General environment protection;DAC410_;Resilience;resilience, livelihoods, land and water management ;The World Bank;Ministry of Agriculture and Rural Development;;2017;;;6,09;;;6,09;;;;
Special Climate Change Fund (SCCF);Multilateral;Vietnam;East Asia & Pacific;Lower middle income;Climate-resilient Infrastructure in Nothern Mountain Province of Vietnam;Adaptation;Other Multisector;DAC430_;Environmental policy and administrative management;Coastal protection;ADB/UNDP;Government of Viet Nam;;2009;2017;;3,4;;;3,4;3,4;;;
Clean Technology Fund (CTF);Multilateral;Vietnam;East Asia & Pacific;Lower middle income;Sustainable Energy Finance Program (V-SEF);Mitigation - General;Energy generation, renewable sources;DAC232_;RE/EE;"Industrial; commercial, residential";IFC;Private sector;;2010;;;3,02;;;3,02;;;;
Partnership for Market Readiness;Multilateral;Vietnam;East Asia & Pacific;Lower middle income;PMR Program Vietnam;Mitigation - General;Government & Civil Society;DAC150_;Environmental research;;The Ministry of Natural Resources and Environment (MONRE);;;2014;2019;;3;;;3;2,97;;;
Clean Technology Fund (CTF);Multilateral;Vietnam;East Asia & Pacific;Lower middle income;M&E TA: Mainstreaming Climate Change Mitigation into National Infrastructure;Mitigation - General;Unallocated / Unspecified;DAC998_;Multisector;;ADB;National Government Recipient (NGR);;2015;;;0,7;;;0,7;0,7;;;
Green Climate Fund (GCF-1);Multilateral;Multi-country (Djibouti, Madagascar);Sub-Saharan Africa;Not applicable;GCF workshops for investment planning and pipeline development in Madagascar and Djibouti;Multiple foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Food and Agriculture Organization of the United Nations (FAO);;;2023;;;0,03;;;0,03;0,03;LDC;;
Partnership for Market Readiness;Multilateral;Vietnam;East Asia & Pacific;Lower middle income;Market Readiness Proposal MRP;Mitigation - General;Government & Civil Society;DAC150_;Environmental research;;;;;2011;;;0,03;;;0,03;;;;
Global Environment Facility (GEF8);Multilateral;Venezuela;Latin America & Caribbean;Upper middle income;Elaboration of Combined Third National Communication (NC3) and first Biennial Transparency Report (BTR1) from the Bolivarian Republic of Venezuela to the United Nations Framework Convention on Climate Change (UNFCCC);Multiple Foci;General Environment Protection;DAC410_;Environmental policy and administrative management;transparency, UNFCCC, Paris agreement;FAO;Ministry of People's Power for Ecosocialism;Government;2023;;;0,63;;;0,63;;;;
Global Environment Facility (GEF7);Multilateral;Vietnam;East Asia & Pacific;Lower middle income;Viet Nam: Preparation of the First Biennial Transparency Report to the United Nations Framework Convention on Climate Change (UNFCCC).;Multiple Foci;General environment protection;DAC410_;Environmental policy and administrative management;UNFCCC, transparency;UNEP;Department of Climate Change;;2022;;;0,48;;;0,48;;;;
Global Environment Facility (GEF7);Multilateral;Vietnam;East Asia & Pacific;Lower middle income;Accelerating low-carbon circular economy through cleantech innovation towards sustainable development in Viet Nam;Mitigation - General;Energy generation, renewable sources;DAC232_;Energy generation, renewable sources - multiple technologies;low carbon, circular economy;UNIDO;Institute of Strategy and Policy on Natural Resources and Environment (ISPONRE);;2021;;;1,74;;;1,74;;;;
Global Environment Facility (GEF7);Multilateral;Vietnam;East Asia & Pacific;Lower middle income;Strengthen Viet Namís capacities to manage data flows and report information adequately to fulfill the enhanced transparency framework of the Paris Agreement requirements;Multiple Foci;Other Multisector;DAC430_;Multisector education/training;Paris agreement, capacity-building;UNDP;Ministry of Natural Resources and Environment (MONRE);Government;2020;;;2;;;2;;;;
Global Environment Facility (GEF4);Multilateral;Yemen;Middle East & North Africa;Low income;MENARID: Adaptation to Climate Change Using Agrobiodiversity Resources in the Rainfed Highlands of Yemen;Multiple Foci;General environment protection;DAC410_;Bio-diversity;;World Bank;;;2007;2015;;4;;;4;4;LDC;;FCAS
Global Environment Facility (GEF5);Multilateral;Yemen;Middle East & North Africa;Low income;Third National Communication and First Biennial Update Report to the UNFCCC;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental research;;UNDP;Environmental Protection Authority (EPA);;2013;;;0,85;;;0,85;0,85;LDC;;FCAS
Least Developed Countries Fund (LDCF);Multilateral;Yemen;Middle East & North Africa;Low income;Integrated Water Harvesting Technologies to Adapt to Climate Change Induced Water Shortage;Adaptation;Water Supply & Sanitation;DAC140_;Environmental policy and administrative management;Coastal protection;UNDP;Ministry of Fish Wealth, and Environment Protection Authority (EPA, within the Ministry of Water and Environment);;2013;;;4,92;;;4,92;;LDC;;FCAS
Least Developed Countries Fund (LDCF);Multilateral;Yemen;Middle East & North Africa;Low income;Rural Adaptation in Yemen;Adaptation;Other Multisector;DAC430_;Environmental policy and administrative management;Rural development;IFAD;MOPIC, MAI, MWE, EPA;;2022;;;10;;;10;;LDC;;FCAS
Least Developed Countries Fund (LDCF);Multilateral;Yemen;Middle East & North Africa;Low income;Development of a National Adaptation Programme of Action ;Adaptation;Unallocated / Unspecified;DAC998_;Solar Energy;NAPA;UNDP;Environmental Protection Authority (EPA);;2003;2006;;0,2;;;0,2;0,2;LDC;;FCAS
Pilot Program for Climate Resilience (PPCR);Multilateral;Tunisia;Middle East & North Africa;Lower middle income;TAF: Technical preparatory studies for the implementation of a sustainable District Heating and Cooling (DHC) system at the Bab Saadoun Medical Complex in Tunis;Adaptation;Energy;DAC230_;;;AfDB;Public Sector;;2022;;;1;;;1;0,05;;;
Pilot Program for Climate Resilience (PPCR);Multilateral;Turkey;Europe & Central Asia;Upper middle income;TAF: Supporting the financial sector†on transition planning and integrating corporate climate governance into financial sector policies and capacity building;Adaptation;Business & Other Services;DAC250_;Business Policy and Administration;;EBRD;;;2024;;;0,3;;;0,3;;;;
Pilot Program for Climate Resilience (PPCR);Multilateral;Uganda;Sub-Saharan Africa;Low income;BDRP: Mainstreaming Climate Change into Policies and Public Investments in Uganda;Adaptation;General environment protection;DAC410_;Environmental policy and administrative management;;IBRD;Public Sector;;2022;;;0,8;;;0,8;0,16;LDC;;
Pilot Program for Climate Resilience (PPCR);Multilateral;Uganda;Sub-Saharan Africa;Low income;BDRP: Promoting Climate Resilient Urban Infrastructure in Lake Victoria Water and Sanitation Project ñ Phase III;Adaptation;Water Supply & Sanitation;DAC140_;Water supply - large systems;;AfDB;Public Sector;;2023;;;0,73;;;0,73;;LDC;;
Pilot Program for Climate Resilience (PPCR);Multilateral;Yemen;Middle East & North Africa;Low income;Climate Information System and PPCR Program Coordination;Adaptation;Disaster Prevention & Preparedness;DAC740_;Multi-hazard response preparedness;;IBRD;Public Sector;;2013;;;1,59;;;1,59;1,59;LDC;;FCAS
Global Environment Facility (GEF7);Multilateral;Yemen;Middle East & North Africa;Low income;Resilient and sustainable livelihoods for rural Yemen;Adaptation;Agriculture, Forestry, Fishing;DAC310_;;maximize production, biodiversity conservation;FAO;Environmental Protection Agency -Ministry of Environment and Water;Government;2020;;;16,06;;;16,06;;LDC;;FCAS
BioCarbon Fund Initiative for Sustainable Forest Landscapes (BioCarbon Fund†ISFL);Multilateral;Zambia;Sub-Saharan Africa;Lower middle income;The Zambia Integrated Forest Landscape Program (ZIFL-P): ERPA support;Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;Forestry, ERPA;IBRD;Ministry of Green Economy and Envrionment;;2024;2029;;11,9;;;11,9;;LDC;;
BioCarbon Fund Initiative for Sustainable Forest Landscapes (BioCarbon Fund†ISFL);Multilateral;Zambia;Sub-Saharan Africa;Lower middle income;The Zambia Integrated Forest Landscape Program (ZIFL-P): ERPA;Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;Forestry, ERPA;IBRD;Ministry of Green Economy and Envrionment;;2024;2029;;30;;;30;;LDC;;
BioCarbon Fund Initiative for Sustainable Forest Landscapes (BioCarbon Fund†ISFL);Multilateral;Zambia;Sub-Saharan Africa;Lower middle income;The Zambia Integrated Forest Landscape Program (ZIFL-P);Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;Forestry;IBRD;Ministry of Green Economy and Envrionment;;2017;2024;;8;;;8;8;LDC;;
Global Environment Facility (GEF4);Multilateral;Zambia;Sub-Saharan Africa;Lower middle income;Increased Access to Electricity Services;Mitigation - General;Energy distribution;DAC236_;Electric power transmission and distribution;;IBRD;;;2007;;;4,5;;;4,5;4,5;LDC;;
Green Climate Fund IRM (GCF IRM);Multilateral;Regional - Latin America and the Caribbean;Latin America & Caribbean;Not applicable;Improving Eastern Caribbean engagement with the Green Climate Fund;Multiple foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Organisation of Eastern Caribbean States (OECS);;;2019;2022;;0,49;;;0,49;0,25;;;
Green Climate Fund (GCF-1);Multilateral;Regional - Latin America and the Caribbean;Latin America & Caribbean;Not applicable;Increasing resilience through Nature based Solutions in Latin American cities Nature4Cities Latam;Multiple foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;The United Nations Environment Programme (UNEP);;;2021;2023;;2,03;;;2,03;2,03;;;
Green Climate Fund (GCF-1);Multilateral;Regional - Sub-Saharan Africa;Sub-Saharan Africa;Not applicable;Institutional and technical support for REDD readiness in West Africa;Multiple foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Food and Agriculture Organization of the United Nations (FAO);;;2023;;;3,28;;;3,28;1,97;;;
Green Climate Fund (GCF-1);Multilateral;Regional - Latin America and the Caribbean;Latin America & Caribbean;Not applicable;Post COVID-19 Green Recovery for Food Security strengthened by financial and technological innovations in Latin-American countries;Multiple foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Inter-American Institute for Cooperation on Agriculture (IICA);;;2020;2023;;2,04;;;2,04;1,61;;;
Green Climate Fund (GCF-1);Multilateral;Multi-country (Nepal, Pakistan);South Asia;Not applicable;Readiness support for building community resilience through application of traditional and local knowledge TLK system;Multiple foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Institute for Global Environmental Strategies (IGES);;;2023;2025;;0,76;;;0,76;0,5;;;
Green Climate Fund IRM (GCF IRM);Multilateral;Multi-country (Belize, St.Lucia);Latin America & Caribbean;Upper middle income;Readiness to support the development of a Credit Risk Abatement Facility (CRAF) for CARICOM States;Multiple foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;CARICOM Development Fund;;;2019;2021;;0,12;;;0,12;0,12;;SIDS - Caribbean;
Green Climate Fund (GCF-1);Multilateral;Regional - Latin America and the Caribbean;Latin America & Caribbean;Not applicable;Regional Climate Resilient Urban Development Initiative;Multiple foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Caribbean Community Climate Change Centre (CCCCC);;;2023;2026;;1,96;;;1,96;0,67;;;
Green Climate Fund (GCF-1);Multilateral;Multi-country (Cuba, El Salvador, Honduras);Latin America & Caribbean;Not applicable;Regional Leapfrogging to Energy-Efficient and Climate Friendly Room Air Conditioners in Cuba, El Salvador and Honduras;Multiple foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;The United Nations Environment Programme (UNEP);;;2020;2023;;0,6;;;0,6;0,6;;;
Green Climate Fund (GCF-1);Multilateral;Regional - Latin America and the Caribbean;Latin America & Caribbean;Not applicable;Strategic Regional Readiness to Enable Resilience of Mesoamericaís 5 Great Forests and Communities;Multiple foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Wildlife Conservation Society (WCS);;;2020;2023;;1,31;;;1,31;0,66;;;
Green Climate Fund (GCF-1);Multilateral;Regional - Sub-Saharan Africa;Sub-Saharan Africa;Not applicable;Strengthening ECOWAS institutional capacities and Member States access to climate finance to support the implementation of the agriculture sectoral priorities of the ECOWAS Regional Climate Strategy;Multiple foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;RFAA;;;2023;;;1,45;;;1,45;0,7;;;
Green Climate Fund (GCF-1);Multilateral;Global;Not applicable;Not applicable;Strengthening the capacities of national and regional development banks, which are members of the International Development Finance Club (IDFC), to access GCF resources.;Multiple foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Agence FranÁaise de Developpement (AFD);;;2020;2022;;0,7;;;0,7;0,63;;;
Green Climate Fund (GCF-1);Multilateral;Regional - Latin America and the Caribbean;Latin America & Caribbean;Not applicable;Strengthening the foundation for a climate responsive agricultural sector in the Caribbean;Multiple foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Inter-American Institute for Cooperation on Agriculture (IICA);;;2020;2023;;1,2;;;1,2;1,08;;;
Green Climate Fund (GCF-1);Multilateral;Regional - Sub-Saharan Africa;Sub-Saharan Africa;Not applicable;Supporting the Creation of ìREDD+ Catalytic Fundî;Multiple foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;COMIFAC;;;2020;2023;;0,5;;;0,5;0,48;;;
Least Developed Countries Fund (LDCF);Multilateral;Zambia;Sub-Saharan Africa;Lower middle income;Climate Change Adaptation in Forest and Agricultural Mosaic Landscapes;Adaptation;Agriculture, Forestry, Fishing;DAC310_;;Management, Lanscapes;FAO;Ministry of Lands and Natural Resources;;2021;;;7,02;;;7,02;;LDC;;
Least Developed Countries Fund (LDCF);Multilateral;Zambia;Sub-Saharan Africa;Lower middle income;Climate Resilient Livestock Management Project;Adaptation;Agriculture;DAC311_;Agricultural Development;;AfDB;Ministry of Agriculture and Livestock (MAL) ;;2013;;;6,21;;;6,21;;LDC;;
Least Developed Countries Fund (LDCF);Multilateral;Zambia;Sub-Saharan Africa;Lower middle income;Adaptation to the effects of drought and climate change in Agro-ecological Zone 1 and 2 in Zambia ;Adaptation;Agriculture;DAC311_;Agricultural Development;;UNDP;Department of Agriculture;;2009;2015;;3,8;;;3,8;3,8;LDC;;
Least Developed Countries Fund (LDCF);Multilateral;Zambia;Sub-Saharan Africa;Lower middle income;Strengthening Climate Information and Early Warning Systems in Eastern and Southern Africa for Climate Resilient Development and Adaptation to Climate Change - Zambia;Adaptation;Disaster Prevention & Preparedness;DAC740_;Disaster prevention and preparedness;;UNDP;Strengthening climate information and early warning systems in Eastern and Southern Africa for climate resilient development and adaptation to climate change – Zambia;;2012;2019;;4;;;4;4;LDC;;
Least Developed Countries Fund (LDCF);Multilateral;Zambia;Sub-Saharan Africa;Lower middle income;Promoting Climate Resilient Community-based Regeneration of Indigenous Forests in Zambia‚Äôs Central Province;Adaptation;Forestry;DAC312_;Forestry policy and administrative management;;UNDP;"Ministry of Lands, Natural Resources and Environmental Protection (MLNREP); Ministry of Mines, Energy and Water Development (MEWD) – Renewable Energy Unit; Department of Forestry (under MLNREP); Relevant District Councils; Ministry of Chiefs and Traditional Affairs (MOCTA) – District Council of Chiefs; Zambia Climate Change Network (ZCCN)";;2013;;;3,89;;;3,89;3,89;LDC;;
Least Developed Countries Fund (LDCF);Multilateral;Zambia;Sub-Saharan Africa;Lower middle income;Building the Resilience of Local Communities in Zambia through the Introduction of Ecosystem-based Adaptation (EbA) into Priority Ecosystems, including Wetlands and Forests;Adaptation;General environment protection;DAC410_;Forestry;wetlands, forests, ecosystem-based Adaptation;UNEP;Ministry of Land, Natural Resources;;2018;;;6,19;;;6,19;;LDC;;
Least Developed Countries Fund (LDCF);Multilateral;Zambia;Sub-Saharan Africa;Lower middle income;Preparation of the National Adaptation Programme of Action (NAPA) ;Adaptation;Unallocated / Unspecified;DAC998_;Environmental Research;NAPA;UNDP;Department of Environment and Natural Resources Management, Ministry of Tourism and Natural Resources;;2004;2008;;0,2;;;0,2;0,2;LDC;;
Pilot Program for Climate Resilience (PPCR);Multilateral;Zambia;Sub-Saharan Africa;Lower middle income;BDRP: Expanded Response to Climate Resilience in Development (ERCRID);Adaptation;Other Multisector;DAC430_;;;AfDB;Public Sector;;2021;;;0,93;;;0,93;0,64;LDC;;
Pilot Program for Climate Resilience (PPCR);Multilateral;Zambia;Sub-Saharan Africa;Lower middle income;Strengthening Climate Resilience (PPCR Phase II) Project (IBRD);Adaptation;Other Multisector;DAC430_;General environment protection;Climate information, capacity building;IBRD;National Government;National Government;2013;;5;31;;;36;36;LDC;;
Pilot Program for Climate Resilience (PPCR);Multilateral;Zambia;Sub-Saharan Africa;Lower middle income;Strengthening Climate Resilience in the Kafue Sub-Basin;Adaptation;Water Supply & Sanitation;DAC140_;General environment protection;Agriculture, infrastructure, capacity building;AfDB;Ministry of Finance and National Planning;;2013;;17,5;20,5;;;38;37,73;LDC;;
Pilot Program for Climate Resilience (PPCR);Multilateral;Zambia;Sub-Saharan Africa;Lower middle income;Private Sector Support to Climate Resilience in Zambia;Adaptation;Other Multisector;DAC430_;General environment protection;Agriculture, landscape;IBRD;;;2018;;13,5;1,1;;;14,6;14,6;LDC;;
Scaling Up Renewable Energy Program (SREP);Multilateral;Zambia;Sub-Saharan Africa;Lower middle income;RES: Wind Power Promotion;Mitigation - General;Energy generation, renewable sources;DAC232_;Wind energy;;AFDB;;Public / Private Sector;2019;;1,15;;;;1,15;;LDC;;
UN-REDD Programme;Multilateral;Zambia;Sub-Saharan Africa;Lower middle income;00074834 UN-REDD Programme - Zambia Quick Start Initiative;Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;;FAO / UNDP / UNEP;Ministry of Tourism, Environment and Natural Resources;;2010;2014;;4,49;;;4,49;4,49;LDC;;
Adaptation Fund (AF);Multilateral;Zimbabwe;Sub-Saharan Africa;Low income;Strengthening Local Communitiesí Adaptive Capacity and Resilience to Climate Change through Sustainable Groundwater Utilisation in Zimbabwe;Adaptation;Water Supply & Sanitation;DAC140_;Water supply - large systems;Groundwater, food security;United Nations Educational, Scientific and Cultural Organization;Ministry of Lands, Agriculture, Water, Climate & Rural Resettlement;Government;2021;2025;;5;;;5;0,41;;;FCAS
Adaptation Fund (AF);Multilateral;Zimbabwe;Sub-Saharan Africa;Low income;Enhancing resilience of communities and ecosystems in the face of a changing climate in arid and semi- arid areas of Zimbabwe (Project formulation assistance grant);Adaptation;General Environment Protection;DAC410_;Environmental policy and administrative management;;"Environmental Management
Agency (EMA)";Zimbabwe  Environmental  Law  Association,  CTDO,  WWF, Environment Africa, Safire, Birdlife Amalima, Care International, Orap;;2020;;;0,02;;;0,02;0,02;;;FCAS
Adaptation Fund (AF);Multilateral;Zimbabwe;Sub-Saharan Africa;Low income;Enhancing resilience of communities and ecosystems in the face of a changing climate in arid and semi- arid areas of Zimbabwe (Project formulation grant);Adaptation;General Environment Protection;DAC410_;Environmental policy and administrative management;;"Environmental Management
Agency (EMA)";Zimbabwe  Environmental  Law  Association,  CTDO,  WWF, Environment Africa, Safire, Birdlife Amalima, Care International, Orap;;2020;;;0,03;;;0,03;0,03;;;FCAS
Adaptation Fund (AF);Multilateral;Zimbabwe;Sub-Saharan Africa;Low income;Enhancing Resilience of Communities and Ecosystems in the Face of a Changing Climate in Arid and Semi-arid Areas of Zimbabwe;Adaptation;Agriculture;DAC311_;Agricultural development;ecosystem, livelihoods;Environmental Management Agency of Zimbabwe;Care International,ORAP,TSURO Trust;;2024;2028;;4,99;;;4,99;0;;;FCAS
Adaptation Fund (AF);Multilateral;Zimbabwe;Sub-Saharan Africa;Low income;Technical Assistance Grant for ESP and Gender (Readiness grant);Adaptation;Other Multisector;DAC430_;Multisector education/training;;MWE;;;2019;;;0,03;;;0,03;0,03;;;FCAS
Adaptation Fund (AF);Multilateral;Zimbabwe;Sub-Saharan Africa;Low income;South-South Cooperation Grant (Readiness grant);Adaptation;General environment protection;DAC410_;Environmental policy and administrative management;;National Environment Management Authority (NEMA);;;2016;2017;;0,05;;;0,05;0,05;;;FCAS
Special Climate Change Fund (SCCF);Multilateral;Zimbabwe;Sub-Saharan Africa;Low income;Scaling up Adaptation in Zimbabwe, with a Focus on Rural Livelihoods, by Strengthening Integrated Planning Systems;Adaptation;Agriculture;DAC311_;Agricultural policy and administrative management;;UNDP;Ministry of Environment and Natural Resources Management;;2012;;;3,98;;;3,98;3,98;;;FCAS
Special Climate Change Fund (SCCF);Multilateral;Zimbabwe;Sub-Saharan Africa;Low income;Coping with Drought and Climate Change ;Adaptation;Other Multisector;DAC430_;Environmental policy and administrative management;Droughts;UNDP;Ministry of Environment and Tourism;;2007;2012;;0,98;;;0,98;0,98;;;FCAS
Green Climate Fund IRM (GCF IRM);Multilateral;Congo, Dem. Rep.;Sub-Saharan Africa;Low income;COD-RS-001 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Centre de Suivi Ecologique (CSE);;;2015;2020;;0,3;;;0,3;0,3;LDC;;FCAS
Green Climate Fund IRM (GCF IRM);Multilateral;Ethiopia;Sub-Saharan Africa;Low income;ETH-RS-001 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Ethiopia, Ministry of Finance and Economic Planning;;Government;2015;;;0,3;;;0,3;0,07;LDC;;
Green Climate Fund IRM (GCF IRM);Multilateral;Rwanda;Sub-Saharan Africa;Low income;RWA-RS-001 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Rwanda National Environment and Climate Change Fund (FONERWA);;;2015;2019;;0,3;;;0,3;0,21;LDC;;
Green Climate Fund IRM (GCF IRM);Multilateral;Mali;Sub-Saharan Africa;Low income;MLI-RS-001 Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;ONG Sahel Eco;;;2015;2015;;0,04;;;0,04;0,04;LDC;;FCAS
Green Climate Fund IRM (GCF IRM);Multilateral;Togo;Sub-Saharan Africa;Low income;TGO-RS-001 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Centre de Suivi Ecologique (CSE);;;2015;2020;;0,3;;;0,3;0,24;LDC;;FCAS
Green Climate Fund IRM (GCF IRM);Multilateral;Mali;Sub-Saharan Africa;Low income;MLI-RS-002 NDA Strengthening + Country Programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;ONG Sahel Eco;;;2015;2018;;0,25;;;0,25;0,16;LDC;;FCAS
Green Climate Fund IRM (GCF IRM);Multilateral;Comoros;Sub-Saharan Africa;Low income;COM-RS-001 Developing Union of Comoros systems and processes on GCF country programming;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;The United Nations Environment Programme (UNEP);;;2018;;;0,43;;;0,43;0,43;LDC;SIDS - AIMS;FCAS
Green Climate Fund IRM (GCF IRM);Multilateral;Dominican Republic;Latin America & Caribbean;Upper middle income;DOM-RS-001 Strengthening National Capacities through the  Climate Change Readiness Support Program in the Dominican Republic;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;FundaciÛn Reservas del PaÌs, Inc. (FRP);;;2015;2019;;0,3;;;0,3;0,26;;SIDS - Caribbean;
Green Climate Fund IRM (GCF IRM);Multilateral;Thailand;East Asia & Pacific;Upper middle income;THA-RS-001 NDA Strengthening;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental policy and administrative management;Readiness support;Deutsche Gesellschaft fuer Internationale Zusammenarbeit (GIZ) GmbH;;;2015;2022;;0,29;;;0,29;0,28;;;
